RecordName,Simulation,Oracles,MISC,E2E,RetryNo
Generation9_Scenario12,11.25,1.50,1.95,14.70,1
Generation9_Scenario13,22.46,2.96,2.54,27.95,2
Generation9_Scenario14,11.20,1.34,2.79,15.33,1
Generation9_Scenario15,11.24,1.44,1.43,14.11,1
Generation9_Scenario16,22.47,3.13,3.67,29.28,2
Generation9_Scenario17,11.23,1.37,2.41,15.00,1
Generation9_Scenario18,11.19,1.44,2.03,14.65,1
Generation9_Scenario19,11.23,1.37,1.47,14.07,1
Generation9_Scenario20,11.24,1.44,1.88,14.56,1
Generation9_Scenario21,11.23,1.39,2.04,14.66,1
Generation9_Scenario22,11.24,1.45,2.43,15.12,1
Generation9_Scenario23,11.27,1.42,2.22,14.91,1
Generation9_Scenario24,22.38,2.92,3.71,29.01,2
Generation9_Scenario25,11.23,1.46,1.74,14.43,1
Generation9_Scenario26,11.23,1.41,1.49,14.13,1
Generation9_Scenario27,11.23,1.38,1.62,14.22,1
